0,timestamp,1_1_mean,1_2_mean,1_3_mean,2_1_mean,2_2_mean,2_3_mean,1_1_std,1_2_std,1_3_std,2_1_std,2_2_std,2_3_std,1_1_max,1_2_max,1_3_max,2_1_max,2_2_max,2_3_max,1_1_min,1_2_min,1_3_min,2_1_min,2_2_min,2_3_min,label
0,1464129912.0,-0.0296475,0.002624,1.0108644999999998,-0.0042065,-0.007813,-0.0080035,6.149999999999906e-05,0.00028299999999999983,0.00010750000000003812,9.850000000000006e-05,1.599999999999952e-05,0.0004074999999999999,-0.029586,0.002907,1.010972,-0.004108,-0.007797,-0.007596,-0.029709,0.002341,1.010757,-0.004305,-0.007829,-0.008411,2.0
1,1464129912.0,-0.0296475,0.002624,1.0108644999999998,-0.0042065,-0.007813,-0.0080035,6.149999999999906e-05,0.00028299999999999983,0.00010750000000003812,9.850000000000006e-05,1.599999999999952e-05,0.0004074999999999999,-0.029586,0.002907,1.010972,-0.004108,-0.007797,-0.007596,-0.029709,0.002341,1.010757,-0.004305,-0.007829,-0.008411,2.0
2,1464130031.0,0.056145,0.198593,0.991466,-0.004244,-0.00387,-0.002701,0.0,0.0,0.0,0.0,0.0,0.0,0.056145,0.198593,0.991466,-0.004244,-0.00387,-0.002701,0.056145,0.198593,0.991466,-0.004244,-0.00387,-0.002701,2.0
3,1464130031.0,0.019364666666666665,0.17580733333333332,0.9981213333333333,-0.005054,-0.009314333333333332,-0.006401666666666667,0.02812386249354017,0.02056671476493565,0.005539945627490897,0.0021515382094368356,0.0040712881117514746,0.004870466188044927,0.056145,0.198593,1.005029,-0.002919,-0.00387,-0.002701,-0.012134,0.148759,0.991466,-0.007999,-0.013659,-0.013283,2.0
4,1464130109.0,-0.010843,0.10982633333333335,1.004796,-0.0051133333333333334,-0.010814999999999998,-0.007620333333333333,0.019845951577084936,0.07825044621952999,0.005563190151942196,0.002130736388095804,0.002176953988183183,0.004203805366041053,0.014083,0.18007,1.01149,-0.002919,-0.008372,-0.003221,-0.034478,0.00065,0.997869,-0.007999,-0.013659,-0.013283,2.0
5,1464130190.0,-0.034478,0.00065,1.01149,-0.004422,-0.008372,-0.006357,0.0,0.0,0.0,0.0,0.0,0.0,-0.034478,0.00065,1.01149,-0.004422,-0.008372,-0.006357,-0.034478,0.00065,1.01149,-0.004422,-0.008372,-0.006357,2.0
6,1464130262.0,-0.033629,5.1e-05,1.010869,-0.004693,-0.007688,-0.006435,0.0,0.0,0.0,0.0,0.0,0.0,-0.033629,5.1e-05,1.010869,-0.004693,-0.007688,-0.006435,-0.033629,5.1e-05,1.010869,-0.004693,-0.007688,-0.006435,2.0
7,1464130262.0,-0.032397,0.0008753333333333333,1.0104633333333333,-0.004341666666666666,-0.007377000000000001,-0.004832,0.001264186695073161,0.0008782043548564815,0.0005928936573188328,0.00024877343552361504,0.000219919682308489,0.002479960886788338,-0.030659,0.002092,1.010896,-0.00415,-0.007219,-0.001329,-0.033629,5.1e-05,1.009625,-0.004693,-0.007688,-0.006732,2.0
8,1464130343.0,-0.031781000000000004,0.0012875,1.0102605,-0.0041659999999999996,-0.0072215000000000005,-0.0040305,0.0011220000000000015,0.0008045000000000001,0.0006355000000000111,1.5999999999999955e-05,2.500000000000332e-06,0.0027015,-0.030659,0.002092,1.010896,-0.00415,-0.007219,-0.001329,-0.032903,0.000483,1.009625,-0.004182,-0.007224,-0.006732,2.0
9,1464130451.0,-0.03076,0.000594,1.011567,-0.00416,-0.007963,-0.006994,0.0,0.0,0.0,0.0,0.0,0.0,-0.03076,0.000594,1.011567,-0.00416,-0.007963,-0.006994,-0.03076,0.000594,1.011567,-0.00416,-0.007963,-0.006994,2.0
10,1464130510.0,-0.030953500000000002,0.0013295,1.0115850000000002,-0.004370000000000001,-0.0076745,-0.006845,0.00010350000000000116,0.0005415,0.0008249999999999647,0.00010099999999999996,0.00018949999999999956,0.00012800000000000008,-0.03085,0.001871,1.01241,-0.004269,-0.007485,-0.006717,-0.031057,0.000788,1.01076,-0.004471,-0.007864,-0.006973,6.0
11,1464130577.0,-0.031102,0.0018165,1.0110695,-0.0045865,-0.007688499999999999,-0.0067605,4.49999999999999e-05,5.450000000000008e-05,0.0003094999999999626,0.00011549999999999972,0.00017549999999999987,4.3500000000000136e-05,-0.031057,0.001871,1.011379,-0.004471,-0.007513,-0.006717,-0.031147,0.001762,1.01076,-0.004702,-0.007864,-0.006804,6.0
12,1464130623.0,-0.0310275,0.001338,1.0111675,-0.004611499999999999,-0.0075695,-0.006810500000000001,0.00011949999999999981,0.00042399999999999995,0.0002115000000000311,9.049999999999987e-05,5.6500000000000127e-05,6.499999999999995e-06,-0.030908,0.001762,1.011379,-0.004521,-0.007513,-0.006804,-0.031147,0.000914,1.010956,-0.004702,-0.007626,-0.006817,6.0
13,1464130703.0,-0.0308765,0.0007565,1.010742,-0.004327,-0.0075829999999999995,-0.006707,3.150000000000028e-05,0.00015749999999999998,0.00021399999999993646,0.00019399999999999973,4.300000000000007e-05,0.00010999999999999985,-0.030845,0.000914,1.010956,-0.004133,-0.00754,-0.006597,-0.030908,0.000599,1.010528,-0.004521,-0.007626,-0.006817,6.0
14,1464130763.0,-0.030772,0.000437,1.010751,-0.004144500000000001,-0.0077455,-0.0065745000000000005,7.300000000000015e-05,0.000162,0.00022299999999997322,1.1499999999999792e-05,0.00020549999999999995,2.2500000000000384e-05,-0.030699,0.000599,1.010974,-0.004133,-0.00754,-0.006552,-0.030845,0.000275,1.010528,-0.004156,-0.007951,-0.006597,6.0
15,1464130805.0,-0.030816,0.000629,1.010836,-0.0041725,-0.007875,-0.006716,0.00011699999999999905,0.00035399999999999993,0.00013799999999997148,1.650000000000002e-05,7.599999999999968e-05,0.00016400000000000008,-0.030699,0.000983,1.010974,-0.004156,-0.007799,-0.006552,-0.030933,0.000275,1.010698,-0.004189,-0.007951,-0.00688,6.0
16,1464130893.0,-0.0307225,0.000926,1.0103205000000002,-0.0042144999999999995,-0.0077495,-0.006814,0.00021049999999999888,5.6999999999999976e-05,0.0003775000000000306,2.5499999999999915e-05,4.9500000000000065e-05,6.600000000000009e-05,-0.030512,0.000983,1.010698,-0.004189,-0.0077,-0.006748,-0.030933,0.000869,1.009943,-0.00424,-0.007799,-0.00688,6.0
17,1464130954.0,-0.029431,0.001457,1.010318,-0.0043095,-0.0077625,-0.0068035,0.0010810000000000004,0.000588,0.0003750000000000142,6.950000000000012e-05,6.250000000000006e-05,5.5499999999999994e-05,-0.02835,0.002045,1.010693,-0.00424,-0.0077,-0.006748,-0.030512,0.000869,1.009943,-0.004379,-0.007825,-0.006859,6.0
18,1464131014.0,-0.029395499999999998,0.0013645,1.010553,-0.0041575,-0.0079105,-0.0068245,0.0010454999999999996,0.0006804999999999999,0.000140000000000029,0.0002214999999999999,8.549999999999964e-05,3.449999999999981e-05,-0.02835,0.002045,1.010693,-0.003936,-0.007825,-0.00679,-0.030441,0.000684,1.010413,-0.004379,-0.007996,-0.006859,6.0
19,1464131074.0,-0.030441,0.000684,1.010413,-0.003936,-0.007996,-0.00679,0.0,0.0,0.0,0.0,0.0,0.0,-0.030441,0.000684,1.010413,-0.003936,-0.007996,-0.00679,-0.030441,0.000684,1.010413,-0.003936,-0.007996,-0.00679,6.0
20,1464131129.0,-0.030371,0.000667,1.010259,-0.003973,-0.007939,-0.00696,0.0,0.0,0.0,0.0,0.0,0.0,-0.030371,0.000667,1.010259,-0.003973,-0.007939,-0.00696,-0.030371,0.000667,1.010259,-0.003973,-0.007939,-0.00696,4.0
21,1464131129.0,-0.0304275,0.0006175,1.010459,-0.004059500000000001,-0.0080015,-0.0069295,5.6500000000000994e-05,4.9499999999999956e-05,0.00019999999999997797,8.65000000000002e-05,6.250000000000006e-05,3.0500000000000145e-05,-0.030371,0.000667,1.010659,-0.003973,-0.007939,-0.006899,-0.030484,0.000568,1.010259,-0.004146,-0.008064,-0.00696,4.0
22,1464131164.0,-0.030477,0.0006206666666666666,1.0101933333333333,-0.004069666666666667,-0.007751333333333332,-0.006789,0.00010177426000713508,6.153770298677783e-05,0.0004991822201249798,0.00011150585435552529,0.0002539413755618061,7.782030583337478e-05,-0.030349,0.000707,1.010659,-0.003912,-0.007442,-0.006731,-0.030598,0.000568,1.009501,-0.004151,-0.008064,-0.006899,4.0
23,1464131229.0,-0.030377333333333336,0.0005830000000000001,1.010059,-0.004072,-0.007510333333333333,-0.006681333333333333,0.00016979268404603175,0.00010291744264214884,0.00040020578040141075,0.00011314003122974064,0.00017304013664144172,7.452218163443376e-05,-0.030185,0.000707,1.01042,-0.003912,-0.007341,-0.006576,-0.030598,0.000455,1.009501,-0.004153,-0.007748,-0.006737,4.0
24,1464131330.0,-0.030185,0.000455,1.010256,-0.004153,-0.007341,-0.006576,0.0,0.0,0.0,0.0,0.0,0.0,-0.030185,0.000455,1.010256,-0.004153,-0.007341,-0.006576,-0.030185,0.000455,1.010256,-0.004153,-0.007341,-0.006576,4.0
25,1464131435.0,-0.0307495,0.001073,1.010589,-0.0041364999999999996,-0.007606,-0.006729499999999999,5.349999999999973e-05,0.0003960000000000001,0.00020600000000003948,0.00016049999999999962,3.000000000000008e-05,1.450000000000019e-05,-0.030696,0.001469,1.010795,-0.003976,-0.007576,-0.006715,-0.030803,0.000677,1.010383,-0.004297,-0.007636,-0.006744,4.0
26,1464131486.0,-0.031150333333333335,0.001489,1.0112693333333331,-0.004209,-0.007646,-0.006882333333333334,0.0003857428619631935,0.0013852662800583385,0.0006276040860995198,0.0002729334473212591,0.00010831743473082567,0.00021719167162260667,-0.030696,0.003439,1.011753,-0.003976,-0.007563,-0.006714,-0.031639,0.000351,1.010383,-0.004592,-0.007799,-0.007189,4.0
